produto_id,feed_id,loja,nome,preco_atual,preco_anterior,preco_min,preco_max,primeira_vez,ultima_alteracao
39197437699,97939,Leveros BR,Ar Condicionado Split HW G-Top Auto Inverter Wi-Fi Gree 18.000 BTUs Quente/Frio 220V,3609.05,3609.05,3609.05,3609.05,2026-08-09,2026-08-09
39197437700,97939,Leveros BR,Ar-Condicionado Multi Split Inverter Daikin 18.000 BTUs (3x Evap HW 9.000) Quente/Frio 220V,13602.1,13602.1,13602.1,13602.1,2026-08-09,2026-08-09
39197437714,97939,Leveros BR,5000012578-KIT MS K7 1V EVAP 9K+PAINEL-GR,3416.0,3416.0,3416.0,3416.0,2026-08-09,2026-08-09
39197437724,97939,Leveros BR,Ar Condicionado Split HW G-Diamond Auto Inverter Wi-Fi Gree 18.000 BTUs Quente/Frio 220V,4074.55,4074.55,4074.55,4074.55,2026-08-09,2026-08-09
39197437731,97939,Leveros BR,Ar-Condicionado Multi Split Inverter Daikin 24.000 BTUs (2x Evap HW 18.000) Quente/Frio 220V,14943.5,14943.5,14943.5,14943.5,2026-08-09,2026-08-09
39197437743,97939,Leveros BR,Ar-condicionado Split Cassete 4 Vias Inverter Fujitsu Airstage 36.000 BTUs R-32 Quente/Frio 380V Trifásico,15769.05,17099.0,15769.05,17099.0,2026-08-09,2026-08-11
39197437745,97939,Leveros BR,Ar-Condicionado Multi Split Inverter Daikin 23.000 BTUs (2x Evap Cassete 4 Vias 9.000 + 1x Evap Cassete 4 Vias 18.000) Quente/Frio 220V,28025.0,28025.0,28025.0,28025.0,2026-08-09,2026-08-09
39197437749,97939,Leveros BR,Ar-Condicionado Multi Split Inverter Daikin 18.000 BTUs (2x Evap HW 9.000 + 1x Evap HW 12.000) Quente/Frio 220V,13866.2,13866.2,13866.2,13866.2,2026-08-09,2026-08-09
39197437750,97939,Leveros BR,Ar-Condicionado Multi Split Inverter Daikin 24.000 BTUs (3x Evap Cassete 1 Via 9.000) Quente/Frio 220V,23420.35,23420.35,23420.35,23420.35,2026-08-09,2026-08-09
39197437756,97939,Leveros BR,Ar-Condicionado Split Cassete Gree G-Prime Inverter Compact 36.000 BTUs R-32 Só Frio 220V Monofásico,9936.05,9936.05,9936.05,9936.05,2026-08-09,2026-08-09
39197437761,97939,Leveros BR,Ar-condicionado Split HW Inverter Fujitsu Airstage Premium 9.000 BTUs R-32 Quente/Frio 220V,2944.05,2944.05,2944.05,2944.05,2026-08-09,2026-08-09
39197437773,97939,Leveros BR,Ar-Condicionado Inverter Split Hi Wall G-Top Auto Wi-Fi Gree 30.000 BTUs Quente/Frio 220V,6820.05,6820.05,6820.05,6820.05,2026-08-09,2026-08-09
39197437780,97939,Leveros BR,5000012579-KIT MS K7 1V EVAP 12K+PAINEL-GR,3427.0,3427.0,3427.0,3427.0,2026-08-09,2026-08-09
39197437781,97939,Leveros BR,Ar-Condicionado Multi Split Inverter R-32 Gree 42.000 (4x Evap HW 9.000 + 1x Evap Cassete 1 Via 18.000) Quente/Frio 220V,18753.0,18753.0,18753.0,18753.0,2026-08-09,2026-08-09
39197437783,97939,Leveros BR,KIT EVAP CASSETE 4 VIAS VRF DUAL VANE QF 24.000 BTUs (Evap K7 4V + Painel ) - LG,5033.1,5033.1,5033.1,5033.1,2026-08-09,2026-08-09
39197437788,97939,Leveros BR,Ar-Condicionado Multi Split Inverter Daikin 38.000 BTUs (2x Evap HW 9.000 + 2x Evap Duto 18.000) Quente/Frio 220V,30741.05,30741.05,30741.05,30741.05,2026-08-09,2026-08-09
